Author,Journal,Journal_type,Pub.year,Title,Abstract,Survey,Experiment,Qualitative,Intersectionality,Environments,Black,Black_immigrants,Asian,Latinx,Whites,Others,Cross-national,Cross-regional
"Michael C. Dawson, Rovana Popoff",Du Bois Review,REP,2004,REPARATIONS: Justice and Greed in Black and White,"Proponents and opponents of reparations for Blacks vociferously disagree. Conservative opponents argue that reparations for Black slavery are a disastrous idea and that proponents are motivated by either greed or the desire to do harm to the republic. Liberal and left opponents of reparations argue that the advocacy on this issue will lead to great racial divisions and do potentially irreparable harm to progressive movements. Supporters of reparations argue that it is a case of simple justice. That during the colonial, slavery, and Jim Crow eras Blacks were systematically oppressed and exploited with the active support of the state. They also argue that both domestic and international precedents strengthen the case for Black reparations. This paper shows that there is a tremendous divide between Blacks and Whites on questions of both an apology to Blacks as well as monetary reparations. The racial divide extends to support for the reparations to Japanese-Americans who were victims of official incarceration during World War II. Finally, multivariate analyses demonstrates that for both Blacks and Whites, racialized views of politics are best predictors of support for or opposition to reparations.",1,0,0,0,0,1,0,0,0,1,0,0,0
"Jessica L. Davis, Oscar H. Gandy, Jr.",Journal of Black Studies,Ethnic studies,1999,Racial Identity and Media Orientation: Exploring the Nature of Constraint,"Examined the relations between different forms of racial identity and media evaluation in the areas of domestic violence and the image of Black men. A review of the literature on racial identity, media orientation, African American audiences, and media criticism is also provided. A telephone survey was administered to 405 African Americans. Results show that forms of racial identification are significant predictors of media criticism, at least with regard to the image of Black men in the context of domestic violence. ",1,0,0,0,0,1,0,0,0,0,0,0,0
"Robert A. Brown, Todd C. Shaw",Journal of Politics,General political science,2003,Separate Nations: Two Attitudinal Dimensions of Black Nationalism,"Previous research has often treated the ideology of Black Nationalism as a singular, uniform set of beliefs. We explore the attitudinal complexity of African‐American support for Black Nationalism and discover two distinct dimensions of Black Nationalism, which we label community nationalism and separatist nationalism. While the former dimension enjoys support among several black subgroups, including more affluent blacks, the latter dimension is distinctly supported by blacks who are either younger, male, or less affluent. Furthermore, community and separatist nationalists generally agree upon a core set of nationalist tenets, although they diverge on the definition and breadth of the black struggle.",1,0,0,0,0,1,0,0,0,0,0,0,0
"Gabriel R. Sanchez, Jillian Medeiros",Social Science Quarterly,Social science,2016,Linked Fate and Latino Attitudes Regarding Health‐Care Reform Policy,"Despite the Latino electorate's increased political importance and their prominence among the uninsured population, there has been relatively little research focused on Latinos’ political attitudes, particularly in the substantively important area of health policy. We examine the foundations of Latino registered voters support for universal healthcare with a particular focus on the relationship between linked fate (a form of group identity) and support for expansion of health coverage to a wider segment of the population. We theorize that the obstacles to healthcare and health coverage the Latino community faces makes health policy a Latino‐salient policy area where group identity becomes relevant. We use the Latino Decisions “100 Days” 2009 survey of Latino registered voters for our analysis, an ideal data set that provides a measure of linked fate, support for universal healthcare, and several key control variables. Our findings show that linked fate is a significant predictor of Latino registered voters' support for expansion of health‐care coverage, suggesting that healthcare is a salient policy for the Latino community. Despite being a tremendously diverse population, our results suggest that Latino policy preferences can be influenced by an underlying sense of group identity when the policy area cues ethnic identity.",1,0,0,0,0,0,0,0,1,0,0,0,0
Natalie Masuoka,Social Science Quarterly,Social science,2006,Together They Become One: Examining the Predictors of Panethnic Group Consciousness Among Asian Americans and Latinos,"This article examines panethnic consciousness as it applies to the two fastest‐growing minority groups in the United States: Asian Americans and Latinos. Given the challenges of diversity and immigration faced by these two communities, I examine the individual‐level factors that help strengthen their panethnic group identity. Drawing from data provided by the 2000 Pilot National Asian American Political Survey and the 1999 National Survey on Latinos, I use ordered probit models to determine the predictors of panethnic consciousness among both Asian Americans and Latinos. The models confirm that for Asian Americans, high income, involvement in Asian‐American politics, being a Democrat, and the role of racial discrimination encourage panethnic consciousness. For Latinos, the important factors are higher levels of education, gender, being foreign born, involvement in Latino politics, and perceptions of discrimination. The findings here stress the importance of social contextual factors such as racial discrimination on the formation of panethnic identity.",1,0,0,0,0,0,0,1,1,0,0,0,0
"Corrine M. McConnaughy, Ismail K. White, David L. Leal, Jason P. Casellas",Journal of Politics,General political science,2010,A Latino on the Ballot: Explaining Coethnic Voting Among Latinos and the Response of White Americans,"In recent campaigns, candidates have sought to attract votes from the growing Latino electorate through ethnic cues. Yet, we know very little about the impact of appeals to ethnicity. This article examines the role that ethnic cues play in shaping the political opinions and choices of Latinos, as well as the response of non-Hispanic White Americans (Anglos). We take up the simplest of group cues, the ethnicity of the candidate. We argue that candidate ethnicity is an explicit ethnic cue that alters the political choices of Latinos through priming of their ethnic linked fate, but only affects Anglos through spreading activation of primed ethnic attitudes to national identity considerations. Evidence from an experiment that manipulated exposure to candidate ethnicity information provides evidence for these claims. Our results help to explain coethnic voting among Latinos and resistance to Latino candidates among Anglos.",1,1,0,0,0,0,0,0,1,1,0,0,0
Lisa Garcia Bedolla,Politics and Gender,Gender,2007,Intersections of Inequality: Understanding Marginalization and Privilege in the Post-Civil Rights Era,"The post-civil rights era has left an important dilemma in U.S. politics. Despite the fact that the United States has become more integrated across racial and gendered lines since the 1960s, inequality, particularly economic inequality, has grown. Although much of that inequality continues to fall along racial, gender, and class lines, the opportunities afforded by the “rights revolution” have also created an important heterogeneity of privilege within marginal groups. As social scientists, how best can we identify the sources and results of this inequality? More specifically, how can we better understand the crosscutting political effects of both marginalization and privilege within and among groups in U.S. society? I contend that intersections theory may be a useful place to begin, and that the idea of intersectionality could provide a fruitful framework with which to understand issues of inequality in the post-civil rights era. Such a framework would help address some of the theoretical problems that sometimes arise within empirical work on marginal groups in political science and, ideally, allow scholars to understand better how experiences of marginalization and privilege affect the shape and character of American political life.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sophia J. Wallace,Social Science Quarterly,Social science,2013,Examining Latino Support for Descriptive Representation: The Role of Identity and Discrimination,"To determine the role of linked fate, cultural factors, and experiences with discrimination on support for descriptive representation among Latinos. Utilizing data from the Latino National Survey (2006) and ordered logistic regression this article analyzes the impact of Latino‐linked fate, cultural factors, and personal and group experiences with discrimination on desire for Latino representation. A higher sense of attachment to Latino‐linked fate and Spanish results in a greater desire for Latino representatives. Similarly, Latinos who believed Latinos suffered from group discrimination were in greater support of Latino representatives. By examining descriptive representation from the perspective of how Latinos feel, this investigation improves our understanding of how attachment to a linked fate, language, and experiences with discrimination work to influence support for Latino representatives.",1,0,0,0,0,0,0,0,1,0,0,0,0
Gabriel R. Sanchez,Social Science Quarterly,Social science,2008,Latino Group Consciousness and Perceptions of Commonality with African Americans,"Currently, Latinos and African Americans constitute more than one‐quarter of the U.S. population. The sheer size of these groups suggests an opportunity for increased political influence, with this opportunity providing the incentive for greater social and political interaction between them. The objective of this article is to determine the role of Latino group consciousness in the formation of attitudes toward African Americans. Utilizing data from the 1999 Washington Post/Henry J. Kaiser Family Foundation National Survey on Latinos, a multivariate ordered logit model is employed to test the relationship between Latino group consciousness and perceptions of commonality with African Americans. Results show that group consciousness in the form of Latino internal commonality and perceived discrimination are contributors to Latino perceptions of commonality with African Americans. This analysis demonstrates that before any meaningful political alliances can be formed between the nation's two largest minority groups, Latinos may need to develop strong levels of panethnic identity.",1,0,0,0,0,0,0,0,1,0,0,0,0
Katrina L. Gamble,Legislative Studies Quarterly,Legislative studies,2011,Black Political Representation: An Examination of Legislative Activity Within U.S. House Committees,"How minority legislators influence policy development in Congress remains a relevant question for those interested in race and political representation. This article addresses this question using evidence from participation in committee work—a vantage point that has received minimal attention in scholarship on black political representation. I interpret racial differences in participation in House committees across a range of policy areas, demonstrating that black members participate at higher rates within committees than whites on both black interest and nonracial bills. The results suggest that race has a substantive effect on members' policy priorities and their legislative activity within committees.",0,0,0,0,0,1,0,0,0,0,0,0,0
William T. Hoston,Journal of Black Studies,Ethnic studies,2007,Black Solidarity and Racial Context: An Exploration of the Role of Black Solidarity in U.S. Cities,"This article explores the concept of solidarity among Blacks in a majority Black and White context. Although past studies have shown the influence of Black solidarity, recent studies have concluded that the effects of Black solidarity are diminishing. Despite their findings, these studies have failed to identify why the role of solidarity has reduced. This study explores the contextual effects of Black solidarity. Specifically, this study asks the question: Does racial context influence Black solidarity; that is, is there more Black solidarity in a majority White context than in a majority Black context? Ordinary least squares regression results identify several important findings: (a) Blacks who lived in a majority White context displayed greater levels of Black solidarity and (b) linked fate is positively associated with Black solidarity. Further results and implications are discussed.",1,0,0,0,1,1,0,0,0,0,0,0,1
Evelyn M. Simien,Women and Politics,Gender,2004,Black Feminist Theory: Charting a Course for Black Women's Studies in Political Science,"Black feminist consciousness arises from an understanding of intersecting patterns of discrimination. If race and gender are studied as separate categories, one cannot explain how attitudes might change as a result of cross-pressures to subordinate the interests of black women so as to protect black men. In this essay, I start with a discussion of black feminist consciousness, providing an overview of its origins, offering a definition, and emphasizing themes that delineate its contours. To underscore the importance of studying black feminist voices in politics, I discuss the limitations of available data and quantitative approaches used hitherto by political scientists.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paula D. McClain  Niambi M. Carter  Victoria M. DeFrancesco Soto  Monique L. Lyle  Jeffrey D. Grynaviski Shayla C. Nunnally  Thomas J. Scotto  J. Alan Kendrick  Gerald F. Lackey  Kendra Davenport Cotton,Journal of Politics,General political science,2006,Racial Distancing in a Southern City: Latino Immigrants’ Views of Black Americans,"The United States is undergoing dramatic demographic change, primarily from immigration, and many of the new Latino immigrants are settling in the South. This paper examines hypotheses related to attitudes of Latino immigrants toward black Americans in a Southern city. The analyses are based on a survey of black, white, and Latino residents (n = 500). The results show, for the most part, Latino immigrants hold negative stereotypical views of blacks and feel that they have more in common with whites than with blacks. Yet, whites do not reciprocate in their feelings toward Latinos. Latinos’ negative attitudes toward blacks, however, are modulated by a sense of linked fate with other Latinos. This research is important because the South still contains the largest population of African Americans in the United States, and no section of the country has been more rigidly defined along a black‐white racial divide. How these new Latino immigrants situate themselves vis‐à‐vis black Americans has profound implications for the social and political fabric of the South.",1,0,0,0,1,1,0,0,1,1,0,0,0
"Matt A. Barreto, Sylvia Manzano, Ricardo Ramírez, Kathy Rim",Urban Affairs Review,Urban politics,2008,"Mobilization, Participation, and Solidaridad: Latino Participation in the 2006 Immigration Protest Rallies","This article tests multiple hypotheses regarding participation in the 2006 immigration rallies in American cities. Specifically, the authors test whether the movement was widespread among Latinos or limited to Mexican immigrants, as speculated by the media, or whether group solidarity can be credited with mobilizing participation and support of Latino citizens for a largely immigrant cause. The consistent findings using both qualitative and quantitative approaches provide robust support for the conclusion that Latino support for the protests was strong across the population as a strong sense of solidarity unified the population around the immigration issue.",1,0,1,0,0,0,0,0,1,0,0,0,0
"Lawrence D. Bobo, Michael C. Dawson",Du Bois Review,REP,2009,"A CHANGE HAS COME: Race, Politics, and the Path to the Obama Presidency","Has Barack Obama's success transformed the racial divide? Did he somehow transcend or help bring to an end centuries of racial division in the United States? Did he deliberately run a strategically race-neutral, race-evading campaign? Did his race and ingrained American racism constrain the reach of his success? Have we arrived at that postracial moment that has long been the stuff of dreams and high oratory? Or was the outcome of the 2008 presidential election driven entirely by nonracial factors, such as a weak Republican ticket, an incumbent party saddled with defending an unpopular war, and a worsening economic crisis? It is at once too simple and yet entirely appropriate to say that the answers to these questions are, in a phrase, complicated matters. These complexities can, however, be brought into sharper focus.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt A. Barreto, Sylvia Manzano, Ricardo Ramírez, Kathy Rim",Politics and Religion,Religion,2009,"Democrat, Republican, or None of the Above? The Role of Religiosity in Muslim American Party Identification","The role of religiosity as an important predictor of partisan identification has been well researched over the years, with most of our understanding of religion focused on Christianity. However, it is not clear that religiosity operates equally for the partisan identification of non-Christian religious groups. One of the most discussed religious minority groups in the United States today is Muslim-Americans. Numbering between 2.3 million and 7 million, Muslim-Americans have been the focus of considerable debate regarding religion and American political inclusion. We argue that religiosity does influence Muslim-American party identification, however not in the same manner as with other groups. While the two major political parties encourage religiosity among Protestants, Jews, and Catholics, they are either silent or opposed to religiosity among Muslims within their parties. Thus, religiosity among Muslim-Americans may not necessarily lead to partisan identification with either Republicans or Democrats. Rather, high levels of religiosity, coupled with perceptions of discrimination against Muslims, may lead many to oppose both major political parties and instead identify with “none of the above.” This is not to say that Muslim-Americans reject civic engagement or political participation in the United States, but rather the two political parties have not carved out a space to welcome Islam, as they have for Christianity and Judaism. We examine new data from the 2007 Muslim-American Public Opinion Survey to assess the predictors of partisan identification among Muslims in the United States.",1,0,0,0,0,0,0,0,0,0,1,0,0
"Jane Junn, Natalie Masuoka",Perspectives on Politics,General political science,2008,Asian American Identity: Shared Racial Status and Political Context,"Amidst rising levels of ethnic diversity in the United States, scholars struggle to understand how group consciousness functions among other non-black minority groups such as Asian Americans and Latinos. Most of the literature in this area focuses on the relationship between identity and immigration incorporation or the debate between national origin and panethnicity. We argue that the Asian American community offers an important case study to understand how social context and one's perceived racial position influence an individual's sense of group attachment. Thus, the Asian American case presents new insight beyond the black politics model into how racial identification influences individual political attitudes and behavior. We present findings from a unique embedded survey experiment conducted in 2004 that reveals a surprising degree of malleability in Asian American racial group attachment. This is a striking contrast to the findings demonstrated by blacks whose racial identification is relatively more stable over various contexts. We seek to explain these findings by advocating for a more explicit consideration of the structural incentives and costs of adopting racial and ethnic identities by highlighting the significance of U.S. immigration policy and its role in creating group-based stereotypes and racial tropes.",1,1,0,0,0,1,0,1,0,0,0,0,0
"Pearl K. Ford Dowe, Sekou M. Franklin, Niambi M. Carter","Politics, Groups, and Identities ",REP,2017,Policy symmetry and cross-racial linked fate in the early years of the Obama presidency,"The United States is undergoing a significant demographic shift that will have critical implications for education, economics, and politics. Combined, Latinos and African Americans will become the majority population by 2050, although it is questionable if this demographic shift will improve their marginalized economic and social positions. It has been noted that due to perceived commonality the two groups are likely political allies. However, there is limited work in how Blacks and Latinos develop different or similar policy positions that may impact coalition development. We posit a theory of policy symmetry to explain the complexities of coalition development among these groups by utilizing the 2010 Blair–Rockefeller Poll and the 2012 Blair–Clinton School Poll. Analyses address the cohesion and divide between these two groups in terms of levels of support for liberal policies. We found that cross-racial linked fate had the most positive impact on Black and Latino policy symmetry, while resource competition and inter-group stereotypes adversely affected policy symmetry between the groups.",1,0,0,0,0,1,0,0,1,0,0,0,0
"Gabriel R. Sanchez, Jason L. Morin",Social Science Quarterly,Social science,2011,The Effect of Descriptive Representation on Latinos' Views of Government and of Themselves,"This article investigates the relationship between descriptive representation and the political attitudes of Latino citizens in the United States. We specifically test the impact of both panethnic and national‐origin specific representation on Latino citizens' attitudes toward government and their individual‐level identity. Original data on the ethnicity and national origin of Latino mayors in 2005 and 2006 was merged with the Latino National Survey (2006) to analyze the impact of descriptive representation on four specific outcomes: perceptions of political alienation, efficacy, political commonality, and linked fate. We find a meaningful relationship between descriptive representation and the political attitudes of Latino citizens. However, the impact of representation varies by level (panethnic vs. national origin) and the particular outcome of interest. By developing a Latino‐specific model of descriptive representation, this investigation improves our knowledge of how recent increases in the number of Latinos elected to public office have impacted the Latino electorate.

",1,0,0,0,0,0,0,0,1,0,0,0,0
Evelyn M. Simien,"Politics, Groups, and Identities ",REP,2013,"African American public opinion: past, present, and future research","The study of African American public opinion has evolved from scholarly research published in the 1960s and 1970s. Over the past several decades, political scientists have relied heavily on data from successive large-scale opinion polls – the 1984, 1988, and 1996 National Black Election Studies (NBES) as well as the 1993 National Black Politics Study (NBPS) – for path-breaking analyses that have identified policy preferences, trends in voter turnout and support for presidential candidates, as well as ideological beliefs. Although Jesse Jackson’s presidential primary bids of the mid-1980s prompted support for collecting data on African American public opinion and political behavior, Barack Obama’s candidacy did not. Several scholars authored proposals that promised methodological innovation for the purpose of setting new standards for survey research, involving an advisory board of established experts that would capitalize on the historic moment, without success. Major research foundations and government agencies opted not to invest in professional, academic surveys even though the acquisition of new data and the asking of new types of questions attentive to the political context would be of lasting value to researchers long after the Obama presidency ended. In what follows, I provide a substantive overview of major theoretical arguments and empirical findings derived from the growing body of literature on African American public opinion albeit limited by the lack of large-n survey data and not the lack of imagination or insight on the part of researchers. I focus part of the discussion on sources of change for African American belief systems – more specifically, the interpretation of latest trends that alter our popular understanding of past research. I intend to comment on these changes and continuities in African American opinion research to clarify how the scholarship in this area has progressed and advanced our practical understanding of key theoretical issues raised more than a decade ago by landmark studies. In the end, I propose a research agenda scholars specializing in the field will find particularly interesting. Each part of this essay addresses a specific aspect of African American public opinion, chronicled in terms of past, present, and future research. Along the way, readers will encounter concepts central to the study of African American public opinion. I readily define these concepts here, starting with the new black voter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paula D. McClain, Jessica D. Johnson Carew, Eugene Walton, Jr., Candis S. Watts",Annual Review of Political Science,Review,2009,"Group Membership, Group Identity, and Group Consciousness: Measures of Racial Identity in American Politics?","This article examines the concepts of group membership, group identity and racial identity, and group consciousness. For each of these we discuss theoretical definitions, research using the various definitions, and issues of measurement. We show that these concepts are distinct and build on each other, rather than being interchangeable. We also explore the concept of linked fate, which evolved from the concept of group consciousness and is central in the race and politics literature. Finally, we address the very important question of whether we are in danger of overextrapolation—taking concepts developed in research on one group and grafting them onto other groups.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray BlockJr.,Political Behavior,Behavior,2010,What About Disillusionment? Exploring the Pathways to Black Nationalism,"Political scientists devote little attention to the attitudinal consequences of Blacks’ disillusionment with racial progress in America. This oversight undermines our understanding of the antecedents of support for the ideology of Black nationalism. I hypothesize that disillusionment and linked fate interact to influence Black nationalism: the stronger one’s disillusionment, the greater her adherence to this ideology, and the weaker the impact of her linked fate on her expression of nationalism. Analyses of the 1993–1994 National Black Politics Study and the 2004–2005 National Politics Study corroborate these expectations, indicating that disillusionment moderates the impact of linked fate on Black nationalism.",1,0,0,0,0,1,0,0,0,0,0,0,0
Jennifer Hochschil,Michigan Journal of Race and Law,Legal studies,2005,RACE AND CLASS IN POLITICAL SCIENCE,"As a discipline, political science tends to have a split personality on the issue of whether the driving force behind political action is material or ideational. Put too crudely, White scholars tend to focus on structural conditions as the cause of group identity and action, whereas scholars of color tend to focus on group identity and conflict in order to explain structural conditions. More generally, the relevant debate within political science revolves less around Jacques Demrda versus Karl Marx (as in critical race studies) than around W. E. B. DuBois versus Thomas Hobbes-that is, whether ""the problem of the twentieth [and other] centur[ies] is the problem of the color line"" or whether people are fundamentally se/f-interested individualists whose social interaction is shaped by the opportunities presented in a given political structure. This Essay examines those propositions by discussing important recent work by political scientists in several arenas, including ethnic conflict, nationalism, and a belief in linked fate. I then briefly discuss my own research on the relationship between race and class, and on the possible malleability of racial and ethnic concepts and practices, in order to show one way that identity-based and interest-based political analyses interact. I conclude that material forces drive most important political disputes and outcomes, but that politics is best understood through a combination of material and ideational lenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
